 id	left	top	right	bottom	texture_id
[SPRITES]
#  HUB BOARD
65000	3	116	232	141	90
#  HUB BLACK BACKGROUND
65001	0	0	257	51	90
#HUB NUMBER
65010	76	191	83	198	90
65011	86	191	93	198	90
65012	96	191	103	198	90
65013	106	191	113	198	90
65014	116	191	123	198	90
65015	126	191	133	198	90
65016	136	191	143	198	90
65017	146	191	153	198	90
65018	156	191	163	198	90
65019	166	191	173	198	90

#power meter
65020	1	175	8	182	90
65021	20	175	35	182	90

#COURSE CLEAR
65022	75	145	220	188	90

#MUSHROOM
65023	0	145	23	172	90
#FIRE FLOWER
65024	25	145	48	172	90
#STAR
65025	50	145	73	172	90
